Date,M,V,P,Mom
1998-02,0.0121,0.0189,0.0038,-0.0143
1998-03,-0.0653,-0.059800000000000006,-0.0584,-0.0449
1998-04,-0.0186,-0.0348,0.0032,0.0019
1998-05,-0.045,-0.0495,-0.0404,-0.0395
1998-06,0.0072,0.013000000000000001,-0.0012,0.0077
1998-07,-0.012299999999999998,-0.0315,0.0132,0.0055000000000000005
1998-08,-0.0883,-0.1056,-0.0748,-0.0645
1998-09,-0.0345,-0.0716,-0.0321,-0.0176
1998-10,0.16440000000000002,0.20550000000000002,0.1276,0.14
1998-11,0.0394,0.049800000000000004,0.0337,-0.003
1998-12,0.031599999999999996,0.0212,0.0397,0.0833
1999-01,0.0114,0.0291,0.0102,0.0021
1999-02,-0.022500000000000003,-0.0339,-0.018000000000000002,-0.0282
1999-03,0.1404,0.1839,0.1437,0.1243
1999-04,0.0504,0.0892,0.0501,0.0571
1999-05,-0.049800000000000004,-0.063,-0.035,-0.054000000000000006
1999-06,0.1087,0.131,0.1209,0.1591
1999-07,0.10319999999999999,0.0944,0.1155,0.1457
1999-08,0.0319,0.08070000000000001,0.029900000000000003,0.10550000000000001
1999-09,0.0721,0.0873,0.0886,0.1121
1999-10,0.066,0.0592,0.0866,0.0984
1999-11,0.07600000000000001,-0.050300000000000004,0.1471,0.20850000000000002
1999-12,0.0405,-0.07719999999999999,0.0574,0.09609999999999999
2000-01,-0.0495,0.0075,-0.07429999999999999,-0.1023
2000-02,-0.0129,-0.0944,-0.003,0.0499
2000-03,0.0657,0.1281,0.0699,-0.0325
2000-04,-0.08629999999999999,-0.0689,-0.083,-0.1155
2000-05,-0.0705,-0.0002,-0.1097,-0.1521
2000-06,0.0632,0.094,0.0601,0.0432
2000-07,-0.118,-0.1099,-0.1114,-0.1381
2000-08,0.06960000000000001,0.053399999999999996,0.0409,0.1175
2000-09,-0.0431,0.006500000000000001,-0.0453,-0.0451
2000-10,-0.0701,-0.029500000000000002,-0.0872,-0.0922
2000-11,-0.025199999999999997,0.009000000000000001,-0.0129,-0.0454
2000-12,-0.0939,-0.045599999999999995,-0.1292,-0.0862
2001-01,-0.0025000000000000005,-0.031200000000000002,0.0139,-0.052300000000000006
2001-02,-0.0514,-0.0015,-0.076,-0.022099999999999998
2001-03,-0.037899999999999996,-0.038,-0.029500000000000002,-0.0383
2001-04,0.0909,0.1216,0.0987,0.1043
2001-05,0.0019000000000000002,0.0132,-0.0192,0.011000000000000001
2001-06,-0.05059999999999999,-0.0167,-0.0731,-0.0089
2001-07,-0.08629999999999999,-0.0447,-0.08869999999999999,-0.0432
2001-08,-0.024,0.031,-0.042199999999999994,-0.0031
2001-09,-0.07410000000000001,-0.073,-0.0426,-0.0652
2001-10,0.0102,-0.0027,0.0040999999999999995,0.0014000000000000002
2001-11,-0.016300000000000002,-0.06709999999999999,-0.030600000000000002,-0.0768
2001-12,-0.0808,-0.07780000000000001,-0.0924,-0.0537
2002-01,-0.07680000000000001,-0.06309999999999999,-0.08439999999999999,-0.092
2002-02,0.0521,0.0706,0.0363,0.033
2002-03,0.0576,0.0155,0.084,0.012
2002-04,0.0536,0.0435,0.0454,0.0587
2002-05,0.07239999999999999,0.1072,0.0724,0.0302
2002-06,-0.046599999999999996,-0.025699999999999997,-0.051399999999999994,-0.024399999999999998
2002-07,-0.0589,-0.0392,-0.054900000000000004,-0.07200000000000001
2002-08,-0.012799999999999999,-0.0197,-0.016200000000000003,-0.0203
2002-09,-0.04800000000000001,-0.0462,-0.0808,-0.047400000000000005
