Date,Market,Big V+M,Big V+P+M,Big VP+M
1990,-0.11362814999999982,-0.16859524000000004,-0.13940500666666666,-0.16019215499999995
1991,0.06600361446824321,0.08712957435185231,0.0751367981423181,0.08520109122982045
1992,-0.2356183708798597,-0.20912640242846559,-0.2174163068616436,-0.2128931430913149
1993,0.24458185733991256,0.23048476237150162,0.23826264670931585,0.23392392234132187
1994,0.22736012115375925,0.2841097628157654,0.25560323904676485,0.30963064417804653
1995,-0.02382515235503546,-0.06148444729267455,-0.04410479251492594,-0.028111260550535033
1996,-0.16114856915556164,-0.10400595519362599,-0.10627793036630162,-0.13852444598065616
1997,-0.28643357014086557,-0.21245910297050907,-0.19922331197288168,-0.21922877512425454
1998,0.07579881051626969,0.06606555243848367,0.07465749141810973,-0.01579045051292427
1999,0.8172698983414033,1.0788908036166598,1.0965548217938461,0.7423448821596113
2000,-0.33057695577171886,-0.29753437912665026,-0.33558320385144025,-0.17341773982632092
2001,-0.28752051644603915,-0.20806866708805538,-0.2490066528293311,-0.19310957534260986
2002,-0.07915498238422536,-0.07846505205033472,-0.08302807462126205,-0.05910525749042517
2003,0.4156034680357845,0.4643908163667778,0.4229293848222384,0.6855769184236598
2004,0.1731912255215573,0.2003589114300146,0.17048217045529568,0.19023341575862407
2005,0.2717561788090237,0.322693437220287,0.29331840850407365,0.2272592813859633
2006,6.547020093683464e-05,-0.01540644637191857,-0.0014724237875057833,0.06715965553673886
2007,-0.051315603255350006,-0.06542030978686098,-0.0674915756567881,-0.03169806635587635
2008,-0.2589567482879187,-0.15349605008082767,-0.18575508646463024,-0.09949512304333108
2009,0.05346276486850421,-0.059514806216612204,-0.011197558450494194,-0.02742292155438497
2010,0.15949796898762836,0.11926155009512152,0.11708928915382644,0.06829872565859829
2011,-0.09881488924900228,-0.08766699024041613,-0.08325660492994158,0.00029410307148469705
2012,0.0660341513302698,0.08074191631122174,0.05034634187756226,0.006457387482564414
2013,0.2805595837066339,0.3460279491643572,0.33422710897635266,0.38531460227550984
2014,-0.02777700743753586,-0.05441893425420574,-0.046826996493058215,-0.058413266674409825
2015,0.1245700637306073,0.10883899676843534,0.12062147911660226,0.21047899426141048
2016,0.03771009369712064,0.029760514436377283,0.035237917496465876,0.09007034044884366
2017,0.2711233701336131,0.2628543528376135,0.2477813039859802,0.1942339532891233
2018,-0.13292939693036065,-0.13066374718439688,-0.12745001055905958,-0.03165255366066766
2019,0.1935291671354722,0.11976892659639948,0.14660612602026735,-0.012834764484490502
2020,0.14195170407967228,0.07654105623848628,0.11385283770102661,-0.04215653790461282
2021,-0.002468699696274501,0.017273599429983744,0.009343053884850017,-0.0078026220668586665
2022,-0.14749896909363436,-0.06078480210212234,-0.10596874225093844,-0.058055237845869856
2023,0.18572269804219155,0.19977006309447054,0.20297722326797518,0.2587025017068676
2024,0.06777527708493847,0.14314587306516446,0.12199771478884691,0.12238694124445249
2025,0.25429142944784777,0.2804911336904039,0.2583310930454248,0.28060823175275273
2026,0.17692034089120368,0.24758431712178952,0.19528447336029586,0.15839815184124562
