period,strategy,construction,start,end,months,cagr,market_cagr,excess_cagr,ann_mean,ann_vol,sharpe_rf,max_dd,market_max_dd,information_ratio,monthly_win_rate,hac_t_excess,bootstrap_lo,bootstrap_hi,bootstrap_prob_positive,cumulative
primary,Value+Profitability,size_balanced,2015-07,2026-06,132,0.08731758082731056,0.08227459494587364,0.005042985881436923,0.09420227272727275,0.14279414258314246,0.5167062270156433,-0.2739801498930867,-0.289266420163236,0.13671288675713458,0.5833333333333334,0.48398984668420547,-0.015505227272727278,0.024666420454545448,0.6736,1.5114267289589804
primary,BVPM,bm_op_32,2015-07,2026-06,132,0.08730385277567776,0.08227459494587364,0.0050292578298041235,0.0934340909090909,0.13766341775563382,0.5313301662594611,-0.24056434153292172,-0.289266420163236,0.1131416013416808,0.49242424242424243,0.3154630218115603,-0.024006837121212137,0.02915249999999999,0.6296,1.5110779596386403
primary,Profitability+Momentum,big_only,2015-07,2026-06,132,0.08653246457814401,0.08227459494587364,0.004257869632270372,0.09449090909090907,0.15012747481840374,0.49385905003090064,-0.29558855905353487,-0.289266420163236,0.10607929576470486,0.5454545454545454,0.40292781805362876,-0.016140909090909095,0.027429431818181797,0.6552,1.4915509860404348
primary,Momentum,size_balanced,2015-07,2026-06,132,0.08614146768570818,0.08227459494587364,0.003866872739834548,0.09579999999999998,0.16053437338516613,0.46975742381697155,-0.3079617699364129,-0.289266420163236,0.10164042256788616,0.5378787878787878,0.353041550209117,-0.02714647727272727,0.03782738636363636,0.6402,1.4817060753098454
primary,BV,bm_op_32,2015-07,2026-06,132,0.07930962231294614,0.08227459494587364,-0.0029649726329274984,0.0887681818181818,0.15650636523073969,0.43710825124943886,-0.33506416058685473,-0.289266420163236,-0.008578398843187828,0.49242424242424243,-0.025526337366927655,-0.06400914772727274,0.05390079545454544,0.5188,1.315296088838509
primary,VPM_intersection,bm_op_32,2015-07,2026-06,132,0.08056205733851352,0.08227459494587364,-0.0017125376073601206,0.08895227272727274,0.14976165854381848,0.45790217460957267,-0.35195068300641774,-0.289266420163236,-0.009866363647156024,0.5,-0.029387924063246224,-0.04508920454545456,0.040055511363636366,0.5206,1.3450216199914466
primary,BVPM_intersection,bm_op_32,2015-07,2026-06,132,0.08164603584514385,0.08227459494587364,-0.0006285591007297864,0.08834545454545455,0.13880369705111956,0.49028907183691806,-0.33454727900138803,-0.289266420163236,-0.017174558965805456,0.4696969696969697,-0.04746481237330567,-0.05611897727272727,0.04750749999999983,0.504,1.3710285999299474
primary,BP,bm_op_32,2015-07,2026-06,132,0.08257047192784195,0.08227459494587364,0.0002958769819683127,0.08853409090909091,0.13397172838127064,0.5087464699480653,-0.24755789327835165,-0.289266420163236,-0.018651901704847373,0.49242424242424243,-0.05534929870656476,-0.033863750000000005,0.029936477272727285,0.4848,1.3934146700128593
primary,P,bm_op_32,2015-07,2026-06,132,0.0810794032090798,0.08227459494587364,-0.0011951917367938325,0.08834999999999998,0.14242261408185286,0.47640429324325145,-0.2813415519693243,-0.289266420163236,-0.02644765499811079,0.5151515151515151,-0.07929045885540961,-0.02909846590909091,0.024364971590909088,0.4776,1.3574013366358937
primary,Profitability+Momentum,size_balanced,2015-07,2026-06,132,0.0792075688781757,0.08227459494587364,-0.003067026067697931,0.08824090909090908,0.15316807553563302,0.4423814421517955,-0.3083926582130655,-0.289266420163236,-0.0289110818834889,0.5075757575757576,-0.09931674682441398,-0.02291494318181819,0.021148863636363622,0.4314,1.3128890921762184
primary,VP,bm_op_32,2015-07,2026-06,132,0.07038690717381546,0.08227459494587364,-0.011887687772058175,0.08210454545454546,0.16660915661201633,0.37010658361629767,-0.4398421455486349,-0.289266420163236,-0.06933552034833584,0.4696969696969697,-0.1915672171580357,-0.09009193181818184,0.06654579545454546,0.461,1.1132392600919205
primary,Profitability,big_only,2015-07,2026-06,132,0.07789300940157551,0.08227459494587364,-0.004381585544298128,0.08598181818181819,0.1468132946421811,0.4465613123813648,-0.31328053183044413,-0.289266420163236,-0.07685159161958684,0.48484848484848486,-0.3280489025255504,-0.023437499999999997,0.01615454545454545,0.35,1.282087062092037
primary,BVP,bm_op_32,2015-07,2026-06,132,0.06177578407489781,0.08227459494587364,-0.020498810870975825,0.07369090909090906,0.16461168159717954,0.3234404270279969,-0.49848677028845945,-0.289266420163236,-0.11442042923519968,0.4696969696969697,-0.3076254203119462,-0.1247190909090909,0.08051136363636362,0.41,0.933574801964262
primary,Profitability,size_balanced,2015-07,2026-06,132,0.07129714440345003,0.08227459494587364,-0.010977450542423606,0.08068181818181817,0.15223432035139833,0.3948106968953076,-0.3311367958338134,-0.289266420163236,-0.1923901791815256,0.5227272727272727,-0.5492493147319566,-0.04065090909090909,0.019611136363636338,0.2824,1.133091180543473
primary,Market,size_balanced,2015-07,2026-06,132,0.08227459494587364,0.08227459494587364,0.0,0.0895181818181818,0.14309868602369186,0.4829975618022472,-0.289266420163236,-0.289266420163236,,0.0,,0.0,0.0,0.0,1.3862289178631588
primary,Market,big_only,2015-07,2026-06,132,0.08227459494587364,0.08227459494587364,0.0,0.0895181818181818,0.14309868602369186,0.4829975618022472,-0.289266420163236,-0.289266420163236,,0.0,,0.0,0.0,0.0,1.3862289178631588
