Date,HML,Mom
1995-11,0.6378489314291154,0.3621510685708846
1995-12,0.637476659938857,0.3625233400611429
1996-01,0.638717160711734,0.361282839288266
1996-02,0.63770299489238,0.36229700510762003
1996-03,0.5992816807891242,0.40071831921087575
1996-04,0.597766466937731,0.4022335330622689
1996-05,0.5984511861237712,0.40154881387622876
1996-06,0.5969767444364112,0.4030232555635887
1996-07,0.5990185201233249,0.40098147987667515
1996-08,0.6017523228785375,0.3982476771214623
1996-09,0.5967244565706719,0.40327554342932803
1996-10,0.5954300331943759,0.4045699668056241
1996-11,0.6025821074628226,0.39741789253717735
1996-12,0.6013389456078014,0.3986610543921987
1997-01,0.6020049873362018,0.3979950126637981
1997-02,0.607439164920419,0.39256083507958106
1997-03,0.6074150111357807,0.39258498886421944
1997-04,0.6114946829944443,0.38850531700555574
1997-05,0.629129810380485,0.370870189619515
1997-06,0.6235135642308748,0.37648643576912527
1997-07,0.6176439228032757,0.3823560771967244
1997-08,0.641409694358072,0.35859030564192806
1997-09,0.651654019070421,0.34834598092957914
1997-10,0.6673340957763021,0.33266590422369785
1997-11,0.6648156086009073,0.3351843913990928
1997-12,0.6787238997690164,0.3212761002309836
1998-01,0.6902336647047465,0.30976633529525355
1998-02,0.7254293503334601,0.27457064966654
1998-03,0.7289430919835164,0.2710569080164835
1998-04,0.7290337149928492,0.27096628500715086
1998-05,0.7344855508142907,0.26551444918570927
1998-06,0.7366591852541448,0.2633408147458552
1998-07,0.7415652154518733,0.25843478454812685
1998-08,0.7398410226512286,0.2601589773487713
1998-09,0.7401728057636102,0.25982719423638967
1998-10,0.7370844676097478,0.26291553239025217
1998-11,0.7386629507806235,0.26133704921937656
1998-12,0.7411667185520114,0.2588332814479885
1999-01,0.7451004287634398,0.25489957123656015
1999-02,0.7518891544768423,0.24811084552315762
1999-03,0.7433328182226779,0.25666718177732206
1999-04,0.7452140554380287,0.25478594456197134
1999-05,0.7373442979201409,0.2626557020798591
1999-06,0.7411150911579835,0.25888490884201654
1999-07,0.7399123661708022,0.2600876338291977
1999-08,0.7406475399885133,0.2593524600114868
1999-09,0.7437804274551103,0.2562195725448897
1999-10,0.7414692938711074,0.25853070612889256
1999-11,0.7315767019886547,0.2684232980113454
1999-12,0.6828257899694945,0.3171742100305054
2000-01,0.6718861526837446,0.3281138473162553
2000-02,0.6606686087728999,0.3393313912271001
2000-03,0.660242830457147,0.33975716954285295
2000-04,0.6646280512299942,0.33537194877000565
2000-05,0.6657422696164678,0.3342577303835322
2000-06,0.6561472516786365,0.3438527483213635
2000-07,0.6519204156117143,0.3480795843882857
2000-08,0.6498192699122765,0.35018073008772355
2000-09,0.6498559366621321,0.35014406333786774
2000-10,0.6449525134192814,0.35504748658071855
2000-11,0.6373047349892164,0.3626952650107836
2000-12,0.6330323812459274,0.3669676187540726
2001-01,0.6247897390687271,0.37521026093127297
2001-02,0.622663213866087,0.377336786133913
2001-03,0.6181695585617492,0.38183044143825073
2001-04,0.6182893393808498,0.3817106606191502
2001-05,0.6157449378911936,0.3842550621088065
2001-06,0.6156050192321986,0.3843949807678014
2001-07,0.6129393749939248,0.3870606250060751
2001-08,0.608994170834941,0.39100582916505905
2001-09,0.6043288109009028,0.39567118909909715
2001-10,0.6041648396564174,0.3958351603435826
2001-11,0.6022568651110964,0.39774313488890356
2001-12,0.6032067571896753,0.3967932428103245
2002-01,0.6036760725300635,0.3963239274699364
2002-02,0.6034889098140377,0.3965110901859623
2002-03,0.6035937106388853,0.39640628936111466
2002-04,0.6047865057002347,0.39521349429976527
2002-05,0.6041608423098657,0.3958391576901343
2002-06,0.6057012941193664,0.39429870588063376
2002-07,0.6057222148865674,0.39427778511343264
2002-08,0.6009718629714589,0.3990281370285411
2002-09,0.6007433977426918,0.3992566022573082
2002-10,0.5961614468923228,0.40383855310767713
2002-11,0.5968389040019099,0.4031610959980902
2002-12,0.5925361681188687,0.4074638318811313
2003-01,0.5896786155421766,0.41032138445782335
2003-02,0.5689578566472424,0.4310421433527577
2003-03,0.5629783633244421,0.4370216366755579
2003-04,0.5621440600789682,0.43785593992103183
2003-05,0.5622805390785174,0.43771946092148273
2003-06,0.5637566476875394,0.43624335231246053
2003-07,0.569215001833458,0.4307849981665419
2003-08,0.5698095857771648,0.43019041422283527
2003-09,0.5686759935223059,0.43132400647769426
2003-10,0.5688207789150345,0.43117922108496554
2003-11,0.5655997616070353,0.43440023839296465
2003-12,0.5631785745575094,0.43682142544249064
2004-01,0.5613583055238341,0.43864169447616586
2004-02,0.5618696957598112,0.43813030424018884
2004-03,0.5647165810085198,0.4352834189914802
2004-04,0.5692893686887998,0.4307106313112003
2004-05,0.5678963462259976,0.43210365377400245
2004-06,0.5698650727615063,0.4301349272384937
2004-07,0.567724678593865,0.432275321406135
2004-08,0.5672713988585397,0.4327286011414602
2004-09,0.5642090648557258,0.43579093514427436
2004-10,0.5627647393859551,0.4372352606140451
2004-11,0.5651015507357091,0.43489844926429083
2004-12,0.5781766162127364,0.4218233837872636
2005-01,0.5866125977326624,0.4133874022673375
2005-02,0.5879156764784652,0.41208432352153473
2005-03,0.5840657869063138,0.4159342130936861
2005-04,0.5675481307731995,0.4324518692268004
2005-05,0.5635636531233559,0.43643634687664407
2005-06,0.5559875151980094,0.4440124848019906
2005-07,0.5564105512459149,0.4435894487540852
2005-08,0.5514294071489341,0.44857059285106593
2005-09,0.5458091665745958,0.4541908334254042
2005-10,0.5499189222052766,0.45008107779472345
2005-11,0.5584507551874774,0.4415492448125226
2005-12,0.5608405513000032,0.43915944869999674
2006-01,0.5621463323437104,0.4378536676562896
2006-02,0.5671348901320831,0.432865109867917
2006-03,0.5738856488919842,0.4261143511080157
2006-04,0.5729484400513782,0.4270515599486217
2006-05,0.5767338329428088,0.4232661670571911
2006-06,0.5795390616900723,0.4204609383099278
2006-07,0.5815971031593731,0.418402896840627
2006-08,0.579690196138376,0.420309803861624
2006-09,0.5878014068497692,0.4121985931502307
2006-10,0.5877573114423642,0.41224268855763585
2006-11,0.5950755040627607,0.4049244959372392
2006-12,0.5942936552832886,0.4057063447167113
2007-01,0.5936797946087036,0.40632020539129654
2007-02,0.5940995829879488,0.4059004170120511
2007-03,0.5923415514372922,0.4076584485627078
2007-04,0.5884046546286578,0.4115953453713423
2007-05,0.593179630248087,0.40682036975191316
2007-06,0.5901799953430297,0.40982000465697027
2007-07,0.5868525292262338,0.4131474707737661
2007-08,0.5901329364959431,0.4098670635040569
2007-09,0.5906849264997975,0.40931507350020246
2007-10,0.600698091472694,0.39930190852730596
2007-11,0.5872691054441516,0.4127308945558483
2007-12,0.5905189641443387,0.4094810358556613
2008-01,0.5871065901413377,0.4128934098586624
2008-02,0.5845139315952533,0.41548606840474667
2008-03,0.5949335816987809,0.40506641830121926
2008-04,0.5956583744009306,0.4043416255990694
2008-05,0.6068048638841971,0.3931951361158028
2008-06,0.6061532424262073,0.3938467575737927
2008-07,0.5889301863114746,0.4110698136885254
2008-08,0.5868380574267165,0.4131619425732836
2008-09,0.5891181948698756,0.41088180513012446
2008-10,0.5828061740211232,0.4171938259788767
2008-11,0.5939239384312538,0.4060760615687462
2008-12,0.5910748078204014,0.40892519217959866
2009-01,0.5918917591442204,0.40810824085577946
2009-02,0.591436754076721,0.4085632459232791
2009-03,0.5917871626554735,0.40821283734452657
2009-04,0.5975003933641407,0.4024996066358592
2009-05,0.6409762941065893,0.35902370589341065
2009-06,0.6399149893214263,0.3600850106785736
2009-07,0.6417507781976752,0.35824922180232466
2009-08,0.6446391026207685,0.3553608973792316
2009-09,0.6447478662424833,0.3552521337575167
2009-10,0.635639766142994,0.364360233857006
2009-11,0.6354306110680948,0.3645693889319052
2009-12,0.6295113447225339,0.370488655277466
2010-01,0.6234339772671912,0.37656602273280887
2010-02,0.6237488647822669,0.37625113521773323
2010-03,0.6238173431087007,0.37618265689129926
2010-04,0.6178595838057136,0.3821404161942864
2010-05,0.6176115645261895,0.38238843547381046
2010-06,0.6126593094918911,0.3873406905081089
2010-07,0.6090106922820754,0.3909893077179246
2010-08,0.6085804571815685,0.3914195428184315
2010-09,0.6088053039918524,0.3911946960081477
2010-10,0.6093159794571841,0.390684020542816
2010-11,0.6074385108341146,0.3925614891658854
2010-12,0.6096406761071709,0.390359323892829
2011-01,0.6205196116104804,0.3794803883895196
2011-02,0.622079028272735,0.37792097172726513
2011-03,0.6243451139913953,0.3756548860086048
2011-04,0.6251926578672629,0.3748073421327372
2011-05,0.6244663937299203,0.37553360627007953
2011-06,0.6233393515032621,0.37666064849673775
2011-07,0.6227227064672332,0.37727729353276684
2011-08,0.6307753938289462,0.3692246061710539
2011-09,0.6331354222483059,0.3668645777516941
2011-10,0.6320337344518209,0.3679662655481791
2011-11,0.6299387554936965,0.3700612445063035
2011-12,0.6308427371207481,0.3691572628792518
2012-01,0.629435765680125,0.37056423431987506
2012-02,0.628782510970851,0.3712174890291489
2012-03,0.6386081173140548,0.3613918826859453
2012-04,0.640079484986364,0.359920515013636
2012-05,0.6388742706738894,0.36112572932611064
2012-06,0.6401634730770501,0.35983652692294993
2012-07,0.6397369088494909,0.36026309115050925
2012-08,0.6392861625220047,0.3607138374779954
2012-09,0.6386432418098195,0.3613567581901805
2012-10,0.6339763326151974,0.3660236673848027
2012-11,0.6415488603044934,0.3584511396955065
2012-12,0.6407556960388455,0.3592443039611546
2013-01,0.6276718204821682,0.37232817951783176
2013-02,0.6327520169488753,0.36724798305112455
2013-03,0.6325312782085346,0.3674687217914654
2013-04,0.6342293656142262,0.3657706343857738
2013-05,0.6261055120870245,0.3738944879129756
2013-06,0.6262503903131813,0.37374960968681864
2013-07,0.624623888512968,0.375376111487032
2013-08,0.6264558625048499,0.3735441374951501
2013-09,0.6267142529818354,0.37328574701816464
2013-10,0.6390307686722487,0.36096923132775127
2013-11,0.6388908849385242,0.3611091150614757
2013-12,0.6350260343342569,0.36497396566574314
2014-01,0.635223368864916,0.3647766311350839
2014-02,0.635543714113291,0.364456285886709
2014-03,0.636123161451123,0.36387683854887704
2014-04,0.6243640741714367,0.3756359258285632
2014-05,0.5905398929420992,0.4094601070579007
2014-06,0.5790720507554497,0.4209279492445503
2014-07,0.576118700107201,0.42388129989279905
2014-08,0.5782622852576487,0.42173771474235144
2014-09,0.5781826691316013,0.4218173308683986
2014-10,0.5853580982125003,0.4146419017874996
2014-11,0.5857449960698379,0.4142550039301621
2014-12,0.5895161429018826,0.4104838570981173
2015-01,0.5978941151841689,0.4021058848158311
2015-02,0.5985489827128988,0.4014510172871013
2015-03,0.5997636571910393,0.4002363428089607
2015-04,0.6124179284994504,0.3875820715005497
2015-05,0.6093726582933959,0.3906273417066042
2015-06,0.6141236144758759,0.3858763855241241
2015-07,0.6163708200004345,0.38362917999956553
2015-08,0.6157671133492426,0.38423288665075733
2015-09,0.6148666425353632,0.3851333574646367
2015-10,0.6149695000903197,0.3850304999096802
2015-11,0.617856705095541,0.382143294904459
2015-12,0.6137108064826443,0.3862891935173557
2016-01,0.6151996439326904,0.38480035606730956
2016-02,0.6150485034658837,0.3849514965341163
2016-03,0.6041039185471114,0.39589608145288846
2016-04,0.6012313798677724,0.3987686201322276
2016-05,0.601338609392207,0.39866139060779304
2016-06,0.6013870335163692,0.3986129664836308
2016-07,0.611289197983976,0.3887108020160241
2016-08,0.6053588651954713,0.39464113480452867
2016-09,0.6080515737325284,0.3919484262674717
2016-10,0.6078646903223862,0.39213530967761384
2016-11,0.6073640767420612,0.3926359232579387
2016-12,0.6012446331861121,0.39875536681388796
2017-01,0.6016648411460385,0.3983351588539616
2017-02,0.6030103355386374,0.3969896644613627
2017-03,0.5916387216550759,0.40836127834492403
2017-04,0.5893057527337083,0.41069424726629167
2017-05,0.5881155301592614,0.4118844698407386
2017-06,0.574840988423586,0.42515901157641395
2017-07,0.5745393587997935,0.4254606412002065
2017-08,0.5705925126978711,0.4294074873021288
2017-09,0.569988606148251,0.4300113938517492
2017-10,0.5689886218165672,0.4310113781834328
2017-11,0.5700810199572892,0.4299189800427108
2017-12,0.5681010488375906,0.4318989511624093
2018-01,0.5813927339629643,0.4186072660370358
2018-02,0.5768283442288127,0.4231716557711873
2018-03,0.5755908374099084,0.4244091625900916
2018-04,0.5636480475832688,0.4363519524167312
2018-05,0.5535869145781177,0.44641308542188224
2018-06,0.5416122267232443,0.4583877732767558
2018-07,0.5459527634898561,0.4540472365101437
2018-08,0.5444154231758082,0.4555845768241919
2018-09,0.5397087771242035,0.46029122287579655
2018-10,0.5301891817573664,0.4698108182426335
2018-11,0.5279184204089272,0.47208157959107283
2018-12,0.5238265857689558,0.47617341423104426
2019-01,0.5179811097049698,0.48201889029503026
2019-02,0.5208178271596637,0.4791821728403364
2019-03,0.5162791857021142,0.4837208142978859
2019-04,0.5133070515562693,0.48669294844373073
2019-05,0.5151372622738118,0.48486273772618804
2019-06,0.5191243105623522,0.4808756894376478
2019-07,0.5192558089342669,0.480744191065733
2019-08,0.5141526989036243,0.48584730109637564
2019-09,0.5137224610353391,0.48627753896466075
2019-10,0.5131018097337731,0.48689819026622694
2019-11,0.5148940301326981,0.48510596986730187
2019-12,0.5141244277077782,0.4858755722922217
2020-01,0.514704847834969,0.48529515216503116
2020-02,0.5097799177119732,0.490220082288027
2020-03,0.5067681441383585,0.4932318558616414
2020-04,0.511015717307929,0.4889842826920711
2020-05,0.5020861146162249,0.497913885383775
2020-06,0.49317549697115015,0.5068245030288497
2020-07,0.49582885519630954,0.5041711448036906
2020-08,0.5052179285121892,0.49478207148781084
2020-09,0.5187089276861684,0.48129107231383156
2020-10,0.519314309360228,0.48068569063977196
2020-11,0.5178015987503086,0.4821984012496913
2020-12,0.5153737017574411,0.4846262982425589
2021-01,0.5121083941467979,0.487891605853202
2021-02,0.5142060322566018,0.4857939677433983
2021-03,0.5168686522749326,0.48313134772506744
2021-04,0.5121845708137922,0.4878154291862078
2021-05,0.513218600568855,0.48678139943114496
2021-06,0.5114485692559492,0.48855143074405083
2021-07,0.49755046229974503,0.502449537700255
2021-08,0.49142192595109985,0.5085780740489001
2021-09,0.48099891378748494,0.5190010862125152
2021-10,0.47862485681958855,0.5213751431804114
2021-11,0.4806777830510254,0.5193222169489745
2021-12,0.4786925218387797,0.5213074781612205
2022-01,0.4682967703758613,0.5317032296241386
2022-02,0.42928384628346655,0.5707161537165334
2022-03,0.4299976891736026,0.5700023108263975
2022-04,0.42879934059139746,0.5712006594086024
2022-05,0.42643910429296705,0.573560895707033
