period,strategy,construction,start,end,months,cagr,market_cagr,excess_cagr,ann_mean,ann_vol,sharpe_rf,max_dd,market_max_dd,information_ratio,monthly_win_rate,hac_t_excess,bootstrap_lo,bootstrap_hi,bootstrap_prob_positive,cumulative
full,Market,size_balanced,1990-12,2026-06,427,0.038198186403085144,0.038198186403085144,0.0,0.05361779859484776,0.1801334596659453,0.15484745329028396,-0.5809621481292239,-0.5809621481292239,,0.0,,0.0,0.0,0.0,2.7958245282070524
full,Value,size_balanced,1990-12,2026-06,427,0.06438653842662223,0.038198186403085144,0.026188352023537087,0.08095081967213115,0.1935355592269598,0.2849752152115761,-0.6550338491938663,-0.5809621481292239,0.35605068825301106,0.5362997658079626,1.7947732135782972,-0.001696264637002337,0.05845524590163933,0.9682,8.210559925711413
full,Profitability,size_balanced,1990-12,2026-06,427,0.040410748070047076,0.038198186403085144,0.002212561666961932,0.05719110070257611,0.18834209224209447,0.16684211393819515,-0.582061632879381,-0.5809621481292239,0.06572056790158294,0.5152224824355972,0.37908605137090967,-0.015317704918032783,0.021397833723653396,0.6488,3.0945408033710082
full,Momentum,size_balanced,1990-12,2026-06,427,0.048493975798712396,0.038198186403085144,0.010295789395627253,0.0662487119437939,0.19502404070476861,0.20758339264821563,-0.5857902697572153,-0.5809621481292239,0.16296155898516276,0.5269320843091335,0.9625722676756978,-0.010214086651053866,0.03588618266978923,0.8506,4.392680393642088
full,Value+Momentum,size_balanced,1990-12,2026-06,427,0.057635369847737206,0.038198186403085144,0.019437183444652062,0.07359976580796253,0.18807125067534936,0.25421155315310723,-0.6200367370143587,-0.5809621481292239,0.3341488989672469,0.5199063231850117,1.853810235115289,-0.00012144028103044558,0.041323261124121775,0.9744,6.344374232836658
full,Value+Profitability,size_balanced,1990-12,2026-06,427,0.05308572572377668,0.038198186403085144,0.014887539320691534,0.06907096018735362,0.18715961916960747,0.23123614265337603,-0.6196726930964253,-0.5809621481292239,0.2826507643851393,0.5597189695550351,1.507436193576656,-0.003326399297423888,0.03562283957845429,0.9406,5.299908657541567
full,Profitability+Momentum,size_balanced,1990-12,2026-06,427,0.045068978828590955,0.038198186403085144,0.006870792425505812,0.06171990632318501,0.1884575564707411,0.19075123637117147,-0.582734044354192,-0.5809621481292239,0.14223884741783044,0.5058548009367682,0.867247401827521,-0.009234976580796257,0.025765117096018732,0.8088,3.8000014941064
full,Value+Profitability+Momentum,size_balanced,1990-12,2026-06,427,0.05220622806697928,0.038198186403085144,0.014008041663894133,0.06813021077283371,0.18639860008673875,0.22716267086386321,-0.6074419912786233,-0.5809621481292239,0.27882404395871596,0.5292740046838408,1.5991230246693648,-0.0025186416861826765,0.03217427400468382,0.9524,5.115367430200336
full,Market,big_only,1990-12,2026-06,427,0.038198186403085144,0.038198186403085144,0.0,0.05361779859484776,0.1801334596659453,0.15484745329028396,-0.5809621481292239,-0.5809621481292239,,0.0,,0.0,0.0,0.0,2.7958245282070524
full,Value,big_only,1990-12,2026-06,427,0.06525349796313074,0.038198186403085144,0.027055311560045592,0.0821536299765808,0.19559605263479443,0.2884020224862717,-0.5828386376644679,-0.5809621481292239,0.35046963650166324,0.5526932084309133,1.975260973550437,0.0014520140515222552,0.057367868852458995,0.9808,8.4813056154388
full,Profitability,big_only,1990-12,2026-06,427,0.037684703486484894,0.038198186403085144,-0.0005134829166002497,0.05251334894613583,0.17676826688853853,0.15166741710855342,-0.652041694407318,-0.5809621481292239,-0.022914722082550267,0.49414519906323184,-0.13883377834090516,-0.016460585480093676,0.014533138173302096,0.4446,2.7295893116237573
full,Momentum,big_only,1990-12,2026-06,427,0.048271897870518554,0.038198186403085144,0.01007371146743341,0.06597470725995316,0.19483750890457951,0.20667838084807166,-0.6653763016940997,-0.5809621481292239,0.1428411701126515,0.5269320843091335,0.7374938050218364,-0.015521803278688524,0.04210271662763463,0.8056,4.3521854285816834
full,Value+Momentum,big_only,1990-12,2026-06,427,0.058966129606077056,0.038198186403085144,0.020767943202991912,0.07406416861826697,0.18375969979709575,0.2630219241462001,-0.5064679257211243,-0.5809621481292239,0.39244125816195924,0.531615925058548,2.1013322127928453,0.0032978571428571466,0.03799675644028102,0.9908,6.680455540593188
full,Value+Profitability,big_only,1990-12,2026-06,427,0.05291541822893264,0.038198186403085144,0.014717231825847499,0.06733348946135832,0.17834423310943404,0.23327730448061637,-0.5035736705087219,-0.5809621481292239,0.35058782415710865,0.5433255269320844,2.0609922264546947,0.001503442622950819,0.026203665105386412,0.9856,5.263756274100472
full,Profitability+Momentum,big_only,1990-12,2026-06,427,0.04392491248911856,0.038198186403085144,0.005726726086033418,0.059244028103044494,0.180828567586252,0.18545711521044056,-0.6557290385208288,-0.5809621481292239,0.1027548699485835,0.5128805620608899,0.522195921403545,-0.012926030444964876,0.02607548009367681,0.707,3.6165183539841
full,Value+Profitability+Momentum,big_only,1990-12,2026-06,427,0.05243954200594758,0.038198186403085144,0.014241355602862438,0.06688056206088994,0.1781468069915601,0.23102139750151415,-0.5582871576371109,-0.5809621481292239,0.35537014347212764,0.5339578454332553,1.8402769289568432,0.0007125761124121801,0.02679744730679156,0.9824,5.163804194409469
full,V,bm_op_32,1990-12,2026-06,427,0.07159822089307033,0.038198186403085144,0.033400034489985186,0.08962622950819674,0.20329932825607655,0.3137961444459803,-0.6728638711589656,-0.5809621481292239,0.39406175462197157,0.5480093676814989,1.909741489158823,-0.0010794994145199017,0.07497554156908659,0.9718,10.712189592176935
