Date,M,V,P,Mom
1990-11,-0.13549999999999998,-0.16305,-0.1442,-0.1518
1990-12,0.025299999999999996,-0.0176,0.005149999999999998,-0.0545
1991-01,0.017099999999999997,-0.014600000000000002,-0.007349999999999999,-0.017449999999999997
1991-02,0.1277,0.17825000000000002,0.15975,0.10795000000000002
1991-03,-0.0376,-0.024399999999999998,-0.02155,-0.011100000000000002
1991-04,0.0271,0.03845,0.029900000000000003,0.04585
1991-05,-0.0156,-0.02135,-0.016,-0.00945
1991-06,-0.06670000000000001,-0.03945,-0.06005,-0.0364
1991-07,0.018799999999999997,0.01175,0.01185,0.002
1991-08,-0.0678,-0.09385,-0.0857,-0.06475
1991-09,0.0912,0.0973,0.0832,0.08255
1991-10,0.0448,0.0385,0.040499999999999994,0.05159999999999999
1991-11,-0.0813,-0.09705,-0.0892,-0.08125
1991-12,0.028800000000000003,0.039,0.032,0.02245
1992-01,-0.0533,-0.0423,-0.054849999999999996,-0.060950000000000004
1992-02,-0.0694,-0.060899999999999996,-0.0519,-0.05005
1992-03,-0.11109999999999999,-0.10919999999999999,-0.11185,-0.10670000000000002
1992-04,-0.0738,-0.0485,-0.06199999999999999,-0.08099999999999999
1992-05,0.0901,0.09634999999999999,0.10435,0.1002
1992-06,-0.08730000000000002,-0.07625000000000001,-0.07595,-0.05245
1992-07,-0.0296,-0.05735,-0.0688,-0.06975
1992-08,0.1663,0.1147,0.1232,0.1008
1992-09,-0.026000000000000002,-0.011750000000000002,-0.021150000000000002,-0.005400000000000001
1992-10,-0.05159999999999999,-0.05365,-0.0572,-0.036199999999999996
1992-11,0.020800000000000003,0.0036000000000000016,0.0089,0.0012500000000000002
1992-12,-0.0075,0.013399999999999999,0.0076500000000000005,0.0002500000000000002
1993-01,-0.0063999999999999994,-0.012799999999999999,-0.015100000000000002,-0.010050000000000002
1993-02,0.0457,0.052750000000000005,0.05465,0.0474
1993-03,0.161,0.18125,0.1769,0.11420000000000001
1993-04,0.16920000000000002,0.19635,0.16905,0.15975
1993-05,0.0518,0.0907,0.0824,0.0996
1993-06,-0.039400000000000004,-0.061649999999999996,-0.0606,-0.0524
1993-07,0.06949999999999999,0.0538,0.0479,0.0589
1993-08,0.023999999999999997,0.02415,0.02255,0.02745
1993-09,-0.049400000000000006,-0.050350000000000006,-0.0342,-0.05285
1993-10,-0.0234,-0.05159999999999999,-0.05805,-0.0505
1993-11,-0.15969999999999998,-0.1739,-0.1427,-0.18130000000000002
1993-12,0.0223,0.03645,0.008650000000000001,0.03265
1994-01,0.17120000000000002,0.20165,0.17085,0.18409999999999999
1994-02,0.0409,0.058550000000000005,0.04625,0.06155000000000001
1994-03,-0.0196,0.014100000000000001,-0.0069,0.001599999999999999
1994-04,0.0356,0.046799999999999994,0.03695,0.03565
1994-05,0.0155,0.026099999999999998,-0.0043,0.00375
1994-06,0.0633,0.10145,0.0765,0.0925
1994-07,-0.0383,-0.0403,-0.0307,-0.040749999999999995
1994-08,0.0008000000000000004,-0.004299999999999998,-0.0003999999999999993,-0.0069
1994-09,-0.028499999999999998,-0.033,-0.027300000000000005,-0.03325
1994-10,0.025800000000000003,0.032350000000000004,0.01005,0.036199999999999996
1994-11,-0.0618,-0.07015,-0.0699,-0.07235
1994-12,0.0205,0.02,0.0137,0.022650000000000003
1995-01,-0.0643,-0.07195,-0.045700000000000005,-0.09575
1995-02,-0.05210000000000001,-0.05335,-0.058550000000000005,-0.04575
1995-03,0.09059999999999999,0.0867,0.0864,0.06939999999999999
1995-04,0.0412,0.0202,0.0193,0.0351
1995-05,-0.0625,-0.0799,-0.0686,-0.060950000000000004
1995-06,-0.0413,-0.036699999999999997,-0.0276,-0.037
1995-07,0.0635,0.0504,0.0353,0.026949999999999998
1995-08,-0.0261,-0.019750000000000004,-0.015250000000000001,-0.03835
1995-09,-0.0117,-0.036,-0.00435,-0.0126
1995-10,-0.038500000000000006,-0.0356,-0.0349,-0.020999999999999998
1995-11,0.0451,0.05215,0.0165,0.03555
1995-12,0.0484,0.0733,0.04415,0.02765
1996-01,-0.0124,0.00935,0.00045000000000000075,-0.011
1996-02,-0.014499999999999999,-0.016399999999999998,-0.0091,-0.0268
1996-03,0.029900000000000003,0.022350000000000002,0.01465,0.02525
1996-04,0.06839999999999999,0.09595000000000001,0.08755,0.08009999999999999
1996-05,-0.0449,-0.03365,-0.0366,-0.04475
1996-06,0.0037,0.00605,0.0058,-0.00255
1996-07,-0.04719999999999999,-0.04820000000000001,-0.033850000000000005,-0.07325
1996-08,-0.0431,-0.04095,-0.04565000000000001,-0.03705
1996-09,0.0288,0.0114,0.008150000000000001,0.00895
1996-10,-0.06860000000000001,-0.06375,-0.06265,-0.059649999999999995
1996-11,0.0063,-0.004849999999999998,-0.009,-0.004050000000000005
1996-12,-0.0706,-0.0759,-0.06755,-0.07314999999999999
1997-01,-0.10729999999999999,-0.09855,-0.08435000000000001,-0.0897
1997-02,0.0185,0.0007999999999999999,-0.005250000000000001,0.0021499999999999974
1997-03,-0.036699999999999997,-0.044199999999999996,-0.044300000000000006,-0.03725
1997-04,0.019200000000000002,-0.0016499999999999987,-0.002400000000000001,0.01585
1997-05,0.1354,0.1273,0.15085,0.13395
1997-06,0.058100000000000006,0.04095,0.0416,0.04035
1997-07,-0.040100000000000004,-0.08549999999999999,-0.05245,-0.006900000000000003
1997-08,-0.0942,-0.09465,-0.10314999999999999,-0.10269999999999999
1997-09,-0.0252,-0.0853,-0.06735000000000001,-0.026249999999999996
1997-10,-0.07650000000000001,-0.05345,-0.033100000000000004,-0.0542
1997-11,-0.07959999999999999,-0.1426,-0.11455000000000001,-0.0852
1997-12,-0.0764,-0.11605,-0.1011,-0.05605
1998-01,0.10980000000000001,0.18275,0.15585000000000002,0.08285000000000001
1998-02,0.0121,0.0406,0.02375,-0.00020000000000000052
1998-03,-0.0653,-0.07105,-0.07110000000000001,-0.06090000000000001
1998-04,-0.0186,-0.04535,-0.0186,-0.004999999999999999
1998-05,-0.045,-0.0446,-0.039349999999999996,-0.0407
1998-06,0.0072,0.01105,0.0029,0.0063
1998-07,-0.012299999999999998,-0.0235,-0.001,-0.0028999999999999994
1998-08,-0.0883,-0.09705,-0.07645,-0.06085
1998-09,-0.0345,-0.06845,-0.0435,-0.03695
1998-10,0.16440000000000002,0.1721,0.12845,0.14165
1998-11,0.0394,0.05895,0.048949999999999994,0.01495
1998-12,0.031599999999999996,0.01735,0.04005,0.06420000000000001
1999-01,0.0114,0.014,0.0105,0.01935
