period,strategy,construction,start,end,months,cagr,market_cagr,excess_cagr,ann_mean,ann_vol,sharpe_rf,max_dd,market_max_dd,information_ratio,monthly_win_rate,hac_t_excess,bootstrap_lo,bootstrap_hi,bootstrap_prob_positive,cumulative,scenario,haircut_bps,break_even_monthly_bps
full,Value+Momentum,size_balanced:base,1990-12,2026-06,427,0.04402329163860008,0.038198186403085144,0.005825105235514938,0.06061615925058547,0.18810217086981024,0.18533137883111733,-0.6411677384197185,-0.5809621481292239,0.11691079429914938,0.49882903981264637,0.64906170953788,-0.013104519906323196,0.02834035714285712,0.7388,3.6320244645612165,base,20,15.495413810351529
full,Value+Momentum,size_balanced:double,1990-12,2026-06,427,0.030570986235461728,0.038198186403085144,-0.007627200167623416,0.04763255269320841,0.1881378968915506,0.11647080371034924,-0.6611470542615494,-0.5809621481292239,-0.09985923739814001,0.47540983606557374,-0.5548693378157062,-0.026086721311475422,0.015356768149882877,0.2834,1.919817360446984,double,40,15.495413810351529
full,Value+Profitability,size_balanced:gross,1990-12,2026-06,427,0.05308572572377668,0.038198186403085144,0.014887539320691534,0.06907096018735362,0.18715961916960747,0.23123614265337603,-0.6196726930964253,-0.5809621481292239,0.2826507643851393,0.5597189695550351,1.507436193576656,-0.003326399297423888,0.03562283957845429,0.9406,5.299908657541567,gross,0,11.892192526367259
full,Value+Profitability,size_balanced:base,1990-12,2026-06,427,0.05101100846563433,0.038198186403085144,0.01281282206254919,0.06710374707259951,0.1872233749590715,0.22068237558164908,-0.6235550912137167,-0.5809621481292239,0.24604288628660395,0.5480093676814989,1.3147591145937048,-0.0052374414519906305,0.03360024590163929,0.9112,4.872979842754895,base,20,11.892192526367259
full,Value+Profitability,size_balanced:double,1990-12,2026-06,427,0.04893621406340176,0.038198186403085144,0.010738027660316618,0.06513653395784542,0.1873064388546179,0.21011423216862804,-0.627405730176255,-0.5809621481292239,0.209370793067944,0.5386416861826698,1.1218120044864983,-0.007148114754098363,0.03161176229508193,0.876,4.474209476120641,double,40,11.892192526367259
full,Profitability+Momentum,size_balanced:gross,1990-12,2026-06,427,0.045068978828590955,0.038198186403085144,0.006870792425505812,0.06171990632318501,0.1884575564707411,0.19075123637117147,-0.582734044354192,-0.5809621481292239,0.14223884741783044,0.5058548009367682,0.867247401827521,-0.009234976580796257,0.025765117096018732,0.8088,3.8000014941064,gross,0,5.507516023723321
full,Profitability+Momentum,size_balanced:base,1990-12,2026-06,427,0.03160478762026564,0.038198186403085144,-0.006593398782819504,0.04873629976580795,0.18848907839337134,0.12204798009367522,-0.6058838372520361,-0.5809621481292239,-0.0855988459157803,0.48009367681498827,-0.5226663872908617,-0.022217177985948487,0.012754110070257589,0.2832,2.025868164863153,base,20,5.507516023723321
full,Profitability+Momentum,size_balanced:double,1990-12,2026-06,427,0.018298793878676944,0.038198186403085144,-0.0198993925244082,0.03575269320843091,0.18852539606572274,0.053366247795777984,-0.6277749052048678,-0.5809621481292239,-0.3128206621041641,0.45433255269320844,-1.9131329966217088,-0.03518745316159252,-0.00023429156908667204,0.0242,0.9064565499239117,double,40,5.507516023723321
full,Value+Profitability+Momentum,size_balanced:gross,1990-12,2026-06,427,0.05220622806697928,0.038198186403085144,0.014008041663894133,0.06813021077283371,0.18639860008673875,0.22716267086386321,-0.6074419912786233,-0.5809621481292239,0.27882404395871596,0.5292740046838408,1.5991230246693648,-0.0025186416861826765,0.03217427400468382,0.9524,5.115367430200336,gross,0,11.194005437927048
full,Value+Profitability+Momentum,size_balanced:base,1990-12,2026-06,427,0.04247047838025475,0.038198186403085144,0.004272291977169607,0.05881873536299764,0.18644085596223842,0.17731681868039378,-0.6234085941222798,-0.5809621481292239,0.09974073532554215,0.5058548009367682,0.5729600498332879,-0.011820386416861837,0.022861861826697888,0.709,3.3930786035324845,base,20,11.194005437927048
full,Value+Profitability+Momentum,size_balanced:double,1990-12,2026-06,427,0.032815661046728284,0.038198186403085144,-0.00538252535635686,0.04950725995316158,0.18649173057449758,0.12748760263602324,-0.6387411030359816,-0.5809621481292239,-0.07863884435932951,0.48243559718969553,-0.4526187267307107,-0.021141733021077292,0.013515187353629944,0.3168,2.1548483650131987,double,40,11.194005437927048
full,Value,big_only:gross,1990-12,2026-06,427,0.06525349796313074,0.038198186403085144,0.027055311560045592,0.0821536299765808,0.19559605263479443,0.2884020224862717,-0.5828386376644679,-0.5809621481292239,0.35046963650166324,0.5526932084309133,1.975260973550437,0.0014520140515222552,0.057367868852458995,0.9808,8.4813056154388,gross,0,21.495243424689384
full,Value,big_only:base,1990-12,2026-06,427,0.06315951555982413,0.038198186403085144,0.024961329156738987,0.0801864168618267,0.1956435278572064,0.2782916747375976,-0.5871102357051796,-0.5809621481292239,0.3260646429380091,0.550351288056206,1.8378920008546138,-0.0005508899297423904,0.05544477751756439,0.973,7.840174175180948,base,20,21.495243424689384
full,Value,big_only:double,1990-12,2026-06,427,0.06106545483047654,0.038198186403085144,0.022867268427391396,0.07821920374707261,0.1957094913398294,0.2681609677406274,-0.591346783879463,-0.5809621481292239,0.30153218592022046,0.550351288056206,1.7003224084807889,-0.002518103044496489,0.05347798594847773,0.9604,7.2412370910480846,double,40,21.495243424689384
full,Profitability,big_only:gross,1990-12,2026-06,427,0.037684703486484894,0.038198186403085144,-0.0005134829166002497,0.05251334894613583,0.17676826688853853,0.15166741710855342,-0.652041694407318,-0.5809621481292239,-0.022914722082550267,0.49414519906323184,-0.13883377834090516,-0.016460585480093676,0.014533138173302096,0.4446,2.7295893116237573,gross,0,-0.4130118623477813
