Date,HML,HML_rec,RMW,RMW_rec,Mom,Mom_rec
1990-11,-0.002,-0.0019500000000000073,0.038599999999999995,0.038599999999999995,0.015,0.015050000000000008
1990-12,-0.0361,-0.03605,0.0123,0.012249999999999997,-0.08039999999999999,-0.08035
1991-01,0.0024,0.0023999999999999994,0.0218,0.021750000000000002,0.0046,0.004600000000000003
1991-02,0.008,0.008000000000000035,-0.056900000000000006,-0.05685000000000001,-0.1523,-0.15224999999999997
1991-03,0.004,0.0040000000000000036,0.0167,0.016649999999999998,0.014499999999999999,0.014499999999999999
1991-04,0.015,0.014949999999999998,0.006500000000000001,0.006500000000000006,0.0108,0.0109
1991-05,0.004,0.004049999999999998,0.0075,0.0075,0.0227,0.022599999999999995
1991-06,0.035699999999999996,0.03570000000000001,0.013600000000000001,0.013649999999999989,0.0308,0.03075
1991-07,0.01,0.01,0.0087,0.008749999999999999,0.005699999999999999,0.0056500000000000005
1991-08,-0.0084,-0.008400000000000005,-0.0004,-0.00040000000000001146,0.0449,0.04485
1991-09,0.0008,0.0007500000000000007,-0.025099999999999997,-0.024999999999999994,-0.030699999999999998,-0.030750000000000013
1991-10,-0.0342,-0.034200000000000015,-0.0229,-0.022950000000000012,0.0132,0.013149999999999995
1991-11,-0.0034999999999999996,-0.0035499999999999976,0.0011,0.0010499999999999954,0.0225,0.022449999999999998
1991-12,-0.0009,-0.000899999999999998,-0.0021,-0.002149999999999999,-0.0027,-0.002749999999999999
1992-01,0.0191,0.019150000000000007,0.0084,0.00845,-0.013000000000000001,-0.012950000000000003
1992-02,-0.006999999999999999,-0.007050000000000001,0.010700000000000001,0.010699999999999987,0.006,0.00605
1992-03,0.0231,0.02315000000000003,0.0113,0.011300000000000004,0.012,0.011999999999999983
1992-04,0.0545,0.05455,0.0467,0.04670000000000001,-0.0088,-0.008799999999999988
1992-05,-0.0241,-0.024050000000000016,-0.013600000000000001,-0.013550000000000006,-0.0054,-0.0053500000000000075
1992-06,0.024900000000000002,0.02489999999999999,0.0235,0.02345,0.060599999999999994,0.060600000000000015
1992-07,-0.011200000000000002,-0.011149999999999993,-0.0302,-0.030250000000000006,-0.026699999999999998,-0.026650000000000014
1992-08,-0.0659,-0.06584999999999999,-0.044199999999999996,-0.044149999999999995,-0.10369999999999999,-0.10370000000000001
1992-09,-0.0014000000000000002,-0.001350000000000004,-0.0212,-0.021150000000000002,0.019799999999999998,0.01975
1992-10,0.0118,0.01185,0.0113,0.011349999999999999,0.0385,0.038550000000000015
1992-11,-0.013999999999999999,-0.014049999999999997,0.0005,0.0004999999999999987,-0.0149,-0.014899999999999997
1992-12,0.0233,0.02325,0.0216,0.0217,-0.0043,-0.00425
1993-01,0.0028000000000000004,0.0027500000000000007,-0.0013,-0.0012500000000000011,0.0054,0.0053999999999999986
1993-02,-0.0016,-0.0015999999999999973,-0.0003,-0.0003500000000000031,-0.0004,-0.00045000000000000595
1993-03,0.0369,0.03695000000000001,0.0155,0.01539999999999997,-0.1011,-0.10104999999999999
1993-04,0.0381,0.038099999999999995,-0.0151,-0.015149999999999997,-0.0359,-0.03589999999999999
1993-05,-0.0183,-0.018299999999999997,-0.0338,-0.03384999999999999,0.0066,0.006649999999999989
1993-06,-0.026699999999999998,-0.026699999999999995,-0.0203,-0.0203,0.0036,0.003599999999999999
1993-07,0.0036,0.003500000000000003,0.0007000000000000001,0.0006499999999999978,0.0134,0.01335
1993-08,0.0032,0.0031500000000000035,-0.004,-0.003949999999999999,0.013600000000000001,0.01355
1993-09,-0.006500000000000001,-0.006550000000000007,0.0358,0.035800000000000005,-0.0143,-0.014250000000000006
