Date,M,V,P,VP,BV,BP,BVP,Mom,BMom,VM,VPM,VPM_intersection,BVM,BVPM,BVPM_intersection
1990-11,-0.13549999999999998,-0.16262500000000002,-0.14800000000000002,-0.155,-0.14827500000000002,-0.126925,-0.1469,-0.1518,-0.146,-0.1572125,-0.15414166666666668,-0.15339999999999998,-0.1471375,-0.1404,-0.14645
1990-12,0.025299999999999996,-0.0237125,0.00027500000000000137,-0.02305,-0.003700000000000001,0.038175,0.0197,-0.0545,-0.0519,-0.03910625,-0.025979166666666664,-0.038775000000000004,-0.027800000000000002,-0.005808333333333335,-0.016100000000000003
1991-01,0.017099999999999997,-0.014549999999999997,-0.009125000000000001,-0.0002999999999999995,0.008974999999999999,0.027875,0.006500000000000001,-0.017449999999999997,0.011899999999999999,-0.015999999999999997,-0.013708333333333331,-0.008874999999999997,0.010437499999999999,0.01625,0.0092
1991-02,0.1277,0.1783,0.16964999999999997,0.1755,0.1542,0.127125,0.1813,0.10795000000000002,0.0719,0.143125,0.15196666666666667,0.141725,0.11305000000000001,0.11774166666666668,0.1266
1991-03,-0.0376,-0.027112499999999998,-0.0273875,-0.03635,-0.050225,-0.049749999999999996,-0.0575,-0.011100000000000002,-0.036000000000000004,-0.019106249999999998,-0.021866666666666663,-0.023725000000000003,-0.0431125,-0.045325000000000004,-0.04675
1991-04,0.0271,0.04227499999999999,0.0315125,0.05125,0.020975,0.016825,0.016399999999999998,0.04585,0.032,0.0440625,0.03987916666666667,0.048549999999999996,0.0264875,0.023266666666666668,0.0242
1991-05,-0.0156,-0.02285,-0.0158625,-0.02275,-0.025599999999999998,-0.015725,-0.0323,-0.00945,-0.0070999999999999995,-0.016149999999999998,-0.016054166666666665,-0.0161,-0.01635,-0.01614166666666667,-0.019700000000000002
1991-06,-0.06670000000000001,-0.035737500000000005,-0.059062500000000004,-0.0266,-0.038725,-0.0753,-0.0351,-0.0364,-0.051399999999999994,-0.036068750000000004,-0.04373333333333334,-0.0315,-0.0450625,-0.05514166666666667,-0.04325
1991-07,0.018799999999999997,0.0125125,0.0178875,0.027200000000000002,0.029875,0.044825000000000004,0.0707,0.002,0.0323,0.00725625,0.010799999999999999,0.014600000000000002,0.0310875,0.03566666666666667,0.051500000000000004
1991-08,-0.0678,-0.09181249999999999,-0.0874625,-0.08560000000000001,-0.0775,-0.061450000000000005,-0.0832,-0.06475,-0.0345,-0.07828125,-0.08134166666666666,-0.075175,-0.056,-0.057816666666666676,-0.05885
1991-09,0.0912,0.09733750000000001,0.08695,0.0674,0.09175,0.0811,0.0713,0.08255,0.0676,0.08994375,0.08894583333333334,0.074975,0.079675,0.08015,0.06945
1991-10,0.0448,0.0432,0.0407625,0.0361,0.035075,0.030225000000000005,0.018600000000000002,0.05159999999999999,0.0642,0.0474,0.04518749999999999,0.04385,0.0496375,0.043166666666666666,0.0414
1991-11,-0.0813,-0.09543750000000001,-0.0834125,-0.0766,-0.09242500000000001,-0.072275,-0.0895,-0.08125,-0.0593,-0.08834375,-0.0867,-0.078925,-0.0758625,-0.07466666666666667,-0.0744
1991-12,0.028800000000000003,0.04065,0.0342625,0.03605,0.038425,0.037225,0.0277,0.02245,0.0158,0.03155,0.032454166666666666,0.029249999999999998,0.0271125,0.030483333333333335,0.02175
1992-01,-0.0533,-0.040275,-0.050175,-0.0306,-0.0277,-0.0407,-0.0087,-0.060950000000000004,-0.0693,-0.050612500000000005,-0.05046666666666667,-0.045775,-0.0485,-0.045899999999999996,-0.039
1992-02,-0.0694,-0.0600875,-0.052250000000000005,-0.0743,-0.07415000000000001,-0.07005,-0.09300000000000001,-0.05005,-0.0593,-0.05506875,-0.05412916666666667,-0.062175,-0.066725,-0.06783333333333333,-0.07615000000000001
1992-03,-0.11109999999999999,-0.108375,-0.105025,-0.10439999999999999,-0.101875,-0.09975,-0.0958,-0.10670000000000002,-0.10460000000000001,-0.10753750000000001,-0.1067,-0.10555,-0.10323750000000001,-0.10207500000000001,-0.10020000000000001
1992-04,-0.0738,-0.052325,-0.06216250000000001,-0.0498,-0.011325,-0.0324,0.0172,-0.08099999999999999,-0.065,-0.0666625,-0.0651625,-0.06539999999999999,-0.0381625,-0.036241666666666665,-0.0239
1992-05,0.0901,0.09658749999999999,0.09872500000000001,0.0889,0.07367499999999999,0.07925,0.0703,0.1002,0.0852,0.09839375,0.09850416666666667,0.09455,0.0794375,0.07937499999999999,0.07775
1992-06,-0.08730000000000002,-0.0768625,-0.07088749999999999,-0.06485,-0.0784,-0.0698,-0.0751,-0.05245,-0.0516,-0.06465625,-0.06673333333333333,-0.05865,-0.065,-0.0666,-0.06335
1992-07,-0.0296,-0.0594375,-0.0701625,-0.0693,-0.042775,-0.045274999999999996,-0.055,-0.06975,-0.0482,-0.06459375,-0.06645,-0.069525,-0.0454875,-0.04541666666666666,-0.0516
1992-08,0.1663,0.11608750000000001,0.12225000000000001,0.10165,0.12815000000000001,0.12840000000000001,0.0877,0.1008,0.11259999999999999,0.10844375,0.11304583333333335,0.10122500000000001,0.12037500000000001,0.12305,0.10014999999999999
1992-09,-0.026000000000000002,-0.013274999999999999,-0.0209,-0.010999999999999998,-0.027925,-0.03905,-0.048499999999999995,-0.005400000000000001,-0.025,-0.0093375,-0.013191666666666666,-0.008199999999999999,-0.0264625,-0.030658333333333333,-0.03675
1992-10,-0.05159999999999999,-0.052662499999999994,-0.054887500000000006,-0.037399999999999996,-0.038974999999999996,-0.04932500000000001,-0.0217,-0.036199999999999996,-0.0373,-0.04443124999999999,-0.04791666666666666,-0.0368,-0.0381375,-0.04186666666666666,-0.0295
1992-11,0.020800000000000003,0.00315,0.0119,0.0212,0.017125,0.024725,0.0335,0.0012500000000000002,0.015300000000000001,0.0022,0.005433333333333334,0.011225,0.0162125,0.01905,0.0244
1992-12,-0.0075,0.0187875,0.0102,0.0358,0.0008000000000000012,-0.006625000000000001,0.005600000000000001,0.0002500000000000002,-0.0040999999999999995,0.00951875,0.009745833333333334,0.018025,-0.0016499999999999991,-0.0033083333333333333,0.0007500000000000007
1993-01,-0.0063999999999999994,-0.012187499999999997,-0.012025000000000001,-0.005050000000000001,-0.0092,-0.0033000000000000004,-0.0085,-0.010050000000000002,-0.0039000000000000003,-0.01111875,-0.011420833333333333,-0.007550000000000001,-0.00655,-0.005466666666666667,-0.006200000000000001
1993-02,0.0457,0.05355,0.05395,0.05245,0.026099999999999998,0.043625,0.0212,0.0474,0.036000000000000004,0.050475,0.05163333333333333,0.049925,0.03105,0.035241666666666664,0.0286
